District,Taluka,Year,Cluster
Buldhana District,Deulgaon Raja,2024,1
Buldhana District,Jalgaon (Jamod),2010,0
Buldhana District,Jalgaon (Jamod),2011,0
Buldhana District,Jalgaon (Jamod),2012,0
Buldhana District,Jalgaon (Jamod),2013,2
Buldhana District,Jalgaon (Jamod),2014,0
Buldhana District,Jalgaon (Jamod),2015,0
Buldhana District,Jalgaon (Jamod),2016,1
Buldhana District,Jalgaon (Jamod),2017,2
Buldhana District,Jalgaon (Jamod),2018,2
Buldhana District,Jalgaon (Jamod),2019,2
Buldhana District,Jalgaon (Jamod),2020,1
Buldhana District,Jalgaon (Jamod),2021,1
Buldhana District,Jalgaon (Jamod),2022,0
Buldhana District,Jalgaon (Jamod),2023,0
Buldhana District,Khamgaon,2011,2
Buldhana District,Khamgaon,2012,2
Buldhana District,Khamgaon,2013,2
Buldhana District,Khamgaon,2014,2
Buldhana District,Khamgaon,2015,2
Buldhana District,Khamgaon,2016,2
Buldhana District,Khamgaon,2017,2
Buldhana District,Khamgaon,2018,1
Buldhana District,Khamgaon,2019,1
Buldhana District,Khamgaon,2020,0
Buldhana District,Khamgaon,2021,2
Buldhana District,Khamgaon,2022,1
Buldhana District,Khamgaon,2023,0
Buldhana District,Khamgaon,2024,1
Buldhana District,Lonar,2010,1
Buldhana District,Lonar,2011,2
Buldhana District,Lonar,2012,2
Buldhana District,Lonar,2013,2
Buldhana District,Lonar,2014,0
Buldhana District,Lonar,2015,2
Buldhana District,Lonar,2016,2
Buldhana District,Lonar,2017,1
Buldhana District,Lonar,2018,1
Buldhana District,Lonar,2019,1
Buldhana District,Lonar,2020,1
Buldhana District,Lonar,2021,2
Buldhana District,Lonar,2022,0
Buldhana District,Lonar,2023,0
Buldhana District,Lonar,2024,0
Buldhana District,Malkapur,2010,2
Buldhana District,Malkapur,2011,2
Buldhana District,Malkapur,2012,0
Buldhana District,Malkapur,2013,1
Buldhana District,Malkapur,2014,0
Buldhana District,Malkapur,2015,0
Buldhana District,Malkapur,2016,0
Buldhana District,Malkapur,2017,1
Buldhana District,Malkapur,2018,1
Buldhana District,Malkapur,2019,1
Buldhana District,Malkapur,2020,0
Buldhana District,Malkapur,2021,1
Buldhana District,Malkapur,2022,1
Buldhana District,Malkapur,2023,1
Buldhana District,Malkapur,2024,1
Buldhana District,Mehkar,2010,2
Buldhana District,Mehkar,2011,2
Buldhana District,Mehkar,2012,2
Buldhana District,Mehkar,2013,0
Buldhana District,Mehkar,2014,2
Buldhana District,Mehkar,2015,2
Buldhana District,Mehkar,2016,2
Buldhana District,Mehkar,2017,2
Buldhana District,Mehkar,2018,2
Buldhana District,Mehkar,2019,1
Buldhana District,Mehkar,2020,1
Buldhana District,Mehkar,2021,2
Buldhana District,Mehkar,2022,1
Buldhana District,Mehkar,2023,2
Buldhana District,Mehkar,2024,2
Buldhana District,Motala,2010,0
Buldhana District,Motala,2011,0
Buldhana District,Motala,2012,0
Buldhana District,Motala,2013,1
Buldhana District,Motala,2014,0
Buldhana District,Motala,2015,1
Buldhana District,Motala,2016,1
