District,Taluka,Year,NDVI,Red,Green,Blue,GLCM_Contrast,GLCM_Homogeneity,GLCM_Energy,Green/Red_Ratio,Cluster
Ahmednagar District,Karjat,2013,-0.0869,144.57,121.81,107.95,657.4957,0.0794,0.0124,0.8426,2
Ahmednagar District,Karjat,2014,0.0187,121.47,121.56,108.19,610.5244,0.0861,0.0125,1.0008,2
Ahmednagar District,Karjat,2015,-0.0903,107.46,90.4,78.46,704.0777,0.0768,0.0118,0.8412,1
Ahmednagar District,Karjat,2016,-0.1298,129.25,103.66,83.76,530.4517,0.0925,0.0116,0.802,1
Ahmednagar District,Karjat,2017,0.0738,101.4,104.53,100.37,968.7963,0.0714,0.0099,1.0308,2
Ahmednagar District,Karjat,2018,-0.1477,116.28,86.58,74.54,433.6785,0.0991,0.0155,0.7446,1
Ahmednagar District,Karjat,2019,-0.0747,144.02,122.89,115.66,1124.8431,0.0629,0.0102,0.8533,2
Ahmednagar District,Karjat,2020,-0.0609,133.43,116.47,97.89,826.0898,0.0776,0.0115,0.8729,2
Ahmednagar District,Karjat,2021,0.0554,105.19,112.31,105.95,1195.6978,0.0615,0.0112,1.0677,2
Ahmednagar District,Karjat,2022,0.0039,109.93,108.23,99.98,1078.6781,0.0601,0.0095,0.9846,2
Ahmednagar District,Karjat,2023,0.0454,99.15,105.11,110.69,920.1636,0.0651,0.0109,1.0601,2
Ahmednagar District,Karjat,2024,0.0529,103.26,110.3,114.46,902.2913,0.0664,0.0113,1.0682,2
Ahmednagar District,Kopargaon,2010,0.0529,100.19,107.98,104.88,994.6655,0.0764,0.0112,1.0777,0
Ahmednagar District,Kopargaon,2011,0.0544,99.54,107.23,104.68,1018.0358,0.0755,0.011,1.0773,0
Ahmednagar District,Kopargaon,2012,0.0643,103.69,115.79,115.63,499.2978,0.1121,0.0167,1.1167,0
Ahmednagar District,Kopargaon,2013,0.0278,106.91,107.28,107.29,846.9992,0.0856,0.0105,1.0034,2
Ahmednagar District,Kopargaon,2014,-0.0444,127.77,112.84,106.65,808.1443,0.087,0.011,0.8831,2
Ahmednagar District,Kopargaon,2015,-0.006,112.79,106.51,104.23,881.8043,0.082,0.0102,0.9443,2
Ahmednagar District,Kopargaon,2016,0.0271,107.6,111.11,109.31,1159.7284,0.0734,0.009,1.0326,2
Ahmednagar District,Kopargaon,2017,0.0439,98.41,101.12,98.38,1151.9877,0.0736,0.0097,1.0276,1
Ahmednagar District,Kopargaon,2018,-0.0366,97.25,86.26,79.21,1171.6952,0.0658,0.0095,0.887,1
Ahmednagar District,Kopargaon,2019,-0.0806,130.14,111.18,99.59,1295.3113,0.0622,0.0092,0.8543,2
Ahmednagar District,Kopargaon,2020,0.0395,91.35,94.44,82.94,1125.7069,0.0795,0.0106,1.0338,1
Ahmednagar District,Kopargaon,2021,0.1043,75.0,83.05,70.94,1321.9015,0.0851,0.0128,1.1073,0
Ahmednagar District,Kopargaon,2022,0.0665,79.45,82.09,74.82,1234.274,0.0864,0.0127,1.0332,0
Ahmednagar District,Kopargaon,2023,0.0817,78.51,85.16,92.49,1152.809,0.074,0.011,1.0847,0
Ahmednagar District,Kopargaon,2024,0.0673,78.57,81.22,75.71,1331.8555,0.0826,0.012,1.0337,1
Ahmednagar District,Nagar,2010,0.0256,106.31,110.06,109.44,543.8642,0.0787,0.0127,1.0353,2
Ahmednagar District,Nagar,2011,0.032,105.63,110.25,110.72,616.2202,0.0747,0.0121,1.0437,2
Ahmednagar District,Nagar,2012,0.0009,110.24,108.59,101.83,778.1803,0.0685,0.0122,0.985,2
Ahmednagar District,Nagar,2013,0.004,108.68,108.05,99.9,719.6307,0.0709,0.0128,0.9941,2
Ahmednagar District,Nagar,2014,0.0283,94.89,93.51,94.18,1267.7585,0.0535,0.009,0.9855,1
Ahmednagar District,Nagar,2015,-0.096,111.26,91.86,81.09,1289.2891,0.0542,0.0092,0.8256,1
Ahmednagar District,Nagar,2016,-0.0482,131.64,118.92,102.67,1015.8679,0.0584,0.0099,0.9034,2
Ahmednagar District,Nagar,2017,-0.0696,113.59,98.4,81.28,1307.7966,0.0528,0.0089,0.8663,1
Ahmednagar District,Nagar,2018,0.0266,104.32,102.16,102.34,1313.4598,0.0592,0.0093,0.9793,1
Ahmednagar District,Nagar,2019,-0.1248,118.71,95.32,79.74,1662.2184,0.0459,0.0078,0.803,1
Ahmednagar District,Nagar,2020,-0.0228,127.74,119.36,108.27,1328.0843,0.0611,0.0102,0.9344,2
Ahmednagar District,Nagar,2021,0.0051,106.11,102.9,98.63,1394.1626,0.051,0.0086,0.9698,1
Ahmednagar District,Nagar,2022,-0.0345,117.36,106.97,98.76,1561.8132,0.0467,0.0084,0.9115,1
Ahmednagar District,Nagar,2023,0.0078,93.85,89.93,80.94,1611.0305,0.0474,0.0085,0.9583,1
Ahmednagar District,Nagar,2024,-0.006,101.75,97.28,94.31,1429.0933,0.0495,0.0086,0.9561,1
Ahmednagar District,Nevasa,2010,0.0285,115.4,120.16,121.12,459.7363,0.1008,0.0148,1.0412,2
